Nicole Singh,21.85,67.97,45.52
Sean Guzman,65.53,79.39,86.66
Brian Smith,28.12,78.02,31.39
Melody Shannon,45.12,25.58,34.31
Maria Gallegos,32.79,98.82,21.43
Joseph Cain,40.83,32.37,46.67
Sarah Ward,77.86,80.26,67.07
Holly Henderson,38.18,28.07,81.01
Debbie Rivera,60.11,57.94,24.59
Evan Mcbride,31.44,84.2,24.41
Holly Olsen,35.89,39.59,23.06
Holly Mcintyre,71.17,50.63,97.92
Phillip Burnett,95.61,69.9,21.42
Kyle Watson,71.39,35.5,59.43
Gregory Cameron,21.6,36.3,31.32
Deborah Harris,74.97,98.74,84.21
Colleen Watkins,58.77,56.07,35.92
Joshua Miles,84.2,71.34,37.56
Wayne Porter,97.24,70.39,25.69
Richard Harrison,90.36,96.8,45.86
